s1,s2,t1,t2
2084,1746,47.32,51.47
2013,1825,47.41,51.39
2047,1830,47.59,51.38
2001,1835,47.71,51.26
1997,1827,47.82,51.14
1991,1827,47.93,51.04
1997,1839,47.93,51.08
1994,1829,48.09,51.23
1987,1833,48.13,51.17
1972,1856,48.23,51.21
1948,1871,48.27,50.95
1924,1892,48.30,50.85
1909,1913,48.49,50.91
1887,1928,48.56,50.81
1877,1944,48.58,50.72
1865,1949,48.56,50.69
1853,1952,48.53,50.65
1838,1956,48.60,50.57
1819,1978,48.67,50.49
1778,1981,48.69,50.37
1777,1984,48.75,50.20
1756,1996,48.77,50.14
1734,2011,48.78,50.03
1696,2043,48.84,49.98
1663,2069,48.90,49.83
1628,2085,49.00,49.74
1601,2096,49.10,49.55
1588,2098,49.25,49.43
1571,2108,49.33,49.40
1560,2116,49.57,49.33
1548,2120,49.59,49.22
1543,2126,49.71,49.16
1537,2114,49.72,48.95
1538,2122,49.89,49.05
1543,2107,49.99,49.00
1542,2113,50.04,49.05
1541,2117,50.04,49.00
1542,2115,49.99,49.00
1552,2118,50.04,48.95
1567,2132,50.19,49.00
1575,2131,50.18,48.85
1573,2140,50.32,48.76
1565,2141,50.35,48.72
1561,2137,50.39,48.73
1556,2142,50.52,48.75
1551,2143,50.64,48.56
1544,2139,50.71,48.53
1542,2147,50.82,48.45
1539,2148,50.93,48.43
1534,2148,50.84,48.36
1528,2155,50.89,48.34
1523,2158,51.00,48.33
1526,2153,51.00,48.41
1526,2170,51.00,48.39
1532,2170,51.00,48.37
1529,2176,51.05,48.30
1522,2169,51.10,48.19
1513,2170,51.14,48.18
1505,2164,51.13,48.22
1500,2168,51.08,48.11
1499,2174,51.12,48.05
1495,2172,51.22,47.95
1497,2173,51.26,48.00
1503,2170,51.34,48.00
1502,2169,51.38,48.05
1502,2166,51.41,47.85
1505,2173,51.44,48.01
1507,2164,51.47,48.01
1510,2168,51.54,47.91
1511,2165,51.52,47.86
1511,2168,51.64,47.92
1515,2161,51.66,47.87
1518,2165,51.67,47.83
1525,2166,51.64,47.84
1537,2160,51.61,47.69
1549,2156,51.63,47.66
1579,2154,51.60,47.73
1639,2161,51.62,47.79
1659,2158,51.64,47.85
1637,2163,51.60,47.76
1612,2175,51.67,47.62
1597,2185,51.69,47.59
1553,2201,51.76,47.56
1563,2218,51.82,47.48
1530,2214,51.73,47.46
1499,2212,51.79,47.44
1474,2207,51.80,47.31
1472,2199,51.76,47.25
1482,2208,51.72,47.29
1493,2203,51.74,47.22
1509,2224,51.85,47.21
1520,2230,51.86,47.25
1512,2243,51.96,47.39
1505,2234,51.97,47.22
1507,2233,52.02,47.21
1507,2236,52.02,47.20
1497,2230,52.07,47.24
1498,2231,52.11,47.22
1510,2227,51.96,47.31
1517,2237,52.01,47.20
1514,2227,51.96,47.24
1513,2234,51.96,47.13
1510,2214,52.01,47.22
1510,2229,51.96,47.21
1511,2225,52.01,47.10
1510,2225,52.11,46.99
1504,2225,52.16,46.99
1502,2223,52.20,47.04
1507,2230,52.14,46.94
1509,2227,52.23,46.89
1509,2232,52.27,46.90
1507,2228,52.31,47.00
1499,2223,52.29,47.05
1500,2234,52.28,47.10
1504,2234,52.36,47.10
1503,2230,52.40,47.04
1501,2224,52.38,46.94
1497,2226,52.36,46.89
1488,2210,52.39,47.00
1487,2204,52.42,46.90
1526,2199,52.40,46.95
1569,2197,52.33,46.91
1626,2195,52.26,46.81
1597,2193,52.20,46.92
1603,2190,52.14,46.72
1618,2189,52.18,46.74
1660,2175,52.12,46.80
1639,2164,52.02,46.81
1645,2170,52.02,46.72
1634,2175,52.07,46.73
1655,2171,51.96,46.80
1651,2174,51.86,46.86
1649,2175,51.87,46.91
1654,2185,51.93,46.92
1649,2187,51.88,46.92
1642,2169,51.89,46.93
1640,2170,51.84,46.88
1640,2171,51.80,46.79
1646,2170,51.76,46.90
1659,2165,51.72,46.75
1676,2167,51.69,46.86
1688,2173,51.60,46.87
1691,2157,51.52,46.83
1683,2157,51.55,46.89
1672,2160,51.42,47.04
1665,2157,51.45,47.19
1667,2158,51.43,47.23
1683,2159,51.40,47.27
1694,2153,51.43,47.31
1698,2148,51.41,47.44
1696,2149,51.29,47.32
1694,2150,51.28,47.35
1691,2153,51.26,47.43
1694,2141,51.20,47.41
1703,2139,51.14,47.54
1719,2135,51.18,47.62
1765,2135,51.22,47.63
1743,2136,51.11,47.70
1748,2137,51.16,47.57
1726,2139,51.10,47.54
1735,2136,51.09,47.56
1733,2130,51.04,47.63
1734,2134,51.14,47.75
1744,2114,51.18,47.86
1755,2105,51.27,48.02
1758,2103,51.26,47.97
1752,2108,51.25,47.82
1747,2105,51.23,47.83
1746,2100,51.22,47.79
1751,2102,51.31,47.90
1755,2109,51.39,47.95
1796,2108,51.37,47.96
1763,2122,51.26,47.91
1763,2126,51.19,47.86
1765,2126,51.13,47.97
1765,2128,51.08,47.92
1772,2118,50.97,47.88
1791,2103,50.97,47.98
1814,2091,50.88,48.03
1836,2080,50.83,48.03
1851,2076,50.89,48.08
1856,2074,50.90,48.03
1853,2080,50.90,48.07
1847,2082,50.76,48.02
1847,2082,50.72,48.12
1854,2085,50.73,48.06
1870,2066,50.70,48.06
1883,2052,50.71,48.11
1905,2035,50.78,48.10
1917,2024,50.74,48.05
1935,2025,50.65,48.19
1946,2017,50.62,48.04
1947,2015,50.59,47.98
1986,2012,50.61,48.18
1949,2008,50.63,48.17
1945,2014,50.50,48.27
1947,2011,50.47,48.35
1945,2009,50.35,48.29
1948,2009,50.33,48.32
1956,2000,50.31,48.35
1975,1998,50.25,48.24
1991,1980,50.19,48.28
1994,1976,50.08,48.21
1995,1964,50.07,48.20
2002,1958,49.97,48.29
2010,1951,50.02,48.33
